ALMIRANTE BROWN,LAS DELICIAS 1112,1846 - ADROGUÉ – PCIA. DE BUENOS AIRES,SR. MONTIEL MAXIMO DANIEL,,4294-6287 PART ZICARI,,a-brown@cruzroja.org.ar,Buenos Aires
BAHIA BLANCA,,,,,,,,Buenos Aires
CHACABUCO,QUINTANA ESQ. SAN LORENZO,6740 - CHACABUCO – PCIA. DE BUENOS AIRES,SR. SEBASTIAN  BUSCALIA,,02352-15416460,,chacabuco@cruzroja.org.ar,Buenos Aires
CLORINDA,ALBERDI 1271,3610 - CLORINDA – PCIA. DE FORMOSA,SRA. FIDELINA LOTTO,,3718624451,,clorinda@cruzroja.org.ar,Formosa
CONCEPCION DEL URUGUAY,LUCILO LÓPEZ 645,3260 - CONCEPCIÓN DEL URUGUAY – PCIA. DE ENTRE RIOS,SRA. BELTRAMINA  HORISBERGER,,03442-15461736,,c-uruguay@cruzroja.org.ar,Entre Ríos
CORDOBA,27 DE ABRIL 1161-BARRIO ALBERDI,5000 - CÓRDOBA,SR. LUIS ARIEL TROCCA,,15-68079244,,cordoba@cruzroja.org.ar,Córdoba
DEL PILAR,AVDA. ISMAEL FERRAROTTI   1457,1629 - PILAR  - PCIA. DE BUENOS AIRES,SR. DIEGO LUIS SEDEÑO,,0230-4357850/4428200,,pilar@cruzroja.org.ar,Buenos Aires
ESPERANZA,CASTELLI 1524,3080 - ESPERANZA – PCIA. DE SANTA FE,SRA. ADRIANA ENGLER,,03496 - 15462038,,esperanza@cruzroja.org.ar,Santa Fe
FORMOSA,CORRIENTES 244,3600 - FORMOSA,SR. DANTE SILVA,,03704-577380,,formosa@cruzroja.org.ar,Formosa
LA PLATA,CALLE 44 Nº 472  (entre 4 y  5),1900 - LA PLATA  - PCIA. DE BUENOS AIRES,SR. DIEGO TIPPING,,15-68741458,,la-plata@cruzroja.org.ar,Buenos Aires
LOMAS DE ZAMORA,SÁENZ 749,1832 - LOMAS ZAMORA – GRAN BUENOS AIRES,SRA. SILVIA MAZZINO QUAINI,,15-69690116,,ld-zamora@cruzroja.org.ar,Buenos Aires
MAR DEL PLATA,RIVADAVIA 3969,7600 - MAR DEL PLATA – PCIA DE BUENOS AIRES,SR. FERNANDO PICARDI,,0223-156891655,,md-plata@cruzroja.org.ar,Buenos Aires
NECOCHEA,CALLE 521 Nº 3030,7630 – QUEQUEN – PCIA. DE BUENOS AIRES,,FERNANDO PICARDI OSCAR MENDOZA,02262-15542909,,necochea@cruzroja.org.ar,Buenos Aires
POSADAS,SAN MARTÍN 2231,3300 – POSADAS – PCIA. DE MISIONES,GRACIELA GOMEZ,,03764-15657425,,posadas@cruzroja.org.ar,Misiones
RESISTENCIA,DON BOSCO 354,3500 - RESISTENCIA,,LUCIANA CASTIÑEIRA FIDELINA LOTTO,0362-154557999,,resistencia@cruzroja.org.ar,Chaco
RIO GALLEGOS,PASTEAUR 24,9400 - RÍO GALLEGOS – PCIA. DE SANTA CRUZ,SR. OSVALDO MEDRAN,,02966-15683550,,r-gallegos@cruzroja.org.ar,Santa Cruz
ROSARIO,LAPRIDA 1553,2000 - ROSARIO – PCIA. DE SANTA FE,SR. MANUEL TASADA,,,,rosario@cruzroja.org.ar,Santa Fe
SAAVEDRA,QUESADA 2602,1429 - CIUDAD AUTÓNOMA DE BUENOS AIRES,SRA. ANDREA RICCIO,,15-50016424,,saavedra@cruzroja.org.ar,Ciudad de Buenos Aires
SAN ANDRES,RIOBAMBA 2847,1651 - SAN ANDRÉS – GRAN BUENOS AIRES,SRA. LILA CARROZZINO,,1558212732,,s-andres@cruzroja.org.ar,Buenos Aires
SAN FERNANDO,3 DE FEBRERO 1275,1646 - SAN FERNANDO – GRAN BUENOS AIRES,SRA. ZULEMA GARCIA,,1559223752,,s-fernando@cruzroja.org.ar,Buenos Aires
SAN ISIDRO,RIVADAVIA 454,1642 - SAN ISIDRO – GRAN BUENOS AIRES,SR. HIRSCH GUSTAVO,,1554565054,,s-isidro@cruzroja.org.ar,Buenos Aires
SAN LUIS,RIVADAVIA 99,5700 – SAN LUIS,SRA. ANALIA GENOVEVA BALDUZ,,0,,s-luis@cruzroja.org.ar,San Luis
